,Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
205,sis_50K_albert_50_MLP_gradient_based30,albert,50K,50,96,sis,gradient_based,MLP,0.9888,0.8645833333333334,0.0008665511265164,0.1354166666666666,14.0,0.62,1178.089874982834,100.0,30.0
206,sis_50K_albert_50_MLP_deeplift30,albert,50K,50,96,sis,deeplift,MLP,0.9864,0.8229166666666666,0.0,0.1770833333333333,17.0,0.62,963.4432809352876,100.0,30.0
207,voter_50K_geom_30_MLP_input_change5,geom,50K,30,84,voter,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.83,704.4051775932312,100.0,5.0
208,voter_50K_geom_30_MLP_gradient_based5,geom,50K,30,84,voter,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.83,856.5881218910217,100.0,5.0
209,cml_50K_3.5_grid_49_MLP_input_change,grid,50K,50,84,cml 3.5,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.01,2476.533952474594,100.0,
210,cml_50K_3.5_grid_49_MLP_gradient_based,grid,50K,50,84,cml 3.5,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.01,2692.6169514656067,100.0,
211,cml_50K_3.5_grid_49_MLP_deeplift,grid,50K,50,84,cml 3.5,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.01,2455.6662895679474,100.0,
212,cml_50K_3.5_albert_50_MLP_input_change,albert,50K,50,96,cml 3.5,input_change,MLP,0.9832,0.8958333333333334,0.0095320623916811,0.1041666666666666,21.0,0.01,2774.2702004909515,100.0,
213,cml_50K_3.5_albert_50_MLP_gradient_based,albert,50K,50,96,cml 3.5,gradient_based,MLP,0.9808,0.8958333333333334,0.0121317157712305,0.1041666666666666,24.0,0.01,2990.6855726242065,100.0,
214,cml_50K_3.5_albert_50_MLP_deeplift,albert,50K,50,96,cml 3.5,deeplift,MLP,0.9808,0.8958333333333334,0.0121317157712305,0.1041666666666666,24.0,0.01,2758.3811132907867,100.0,
215,cml_50K_3.5_erdos_50_MLP_input_change,erdos,50K,50,186,cml 3.5,input_change,MLP,0.9864,0.9731182795698924,0.0112781954887218,0.0268817204301075,17.0,0.01,2259.953538417816,100.0,
216,cml_50K_3.5_erdos_50_MLP_gradient_based,erdos,50K,50,186,cml 3.5,gradient_based,MLP,0.9888,0.967741935483871,0.0075187969924812,0.032258064516129,14.0,0.01,2481.473057746887,100.0,
217,cml_50K_3.5_erdos_50_MLP_deeplift,erdos,50K,50,186,cml 3.5,deeplift,MLP,0.9888,0.9731182795698924,0.0084586466165413,0.0268817204301075,14.0,0.01,2241.7724668979645,100.0,
218,rps_50K_grid_49_MLP_input_change15,grid,50K,50,84,rps,input_change,MLP,0.9991670137442732,1.0,0.0008956560680698,0.0,1.0,0.68,1061.4913170337677,100.0,15.0
219,rps_50K_grid_49_MLP_gradient_based15,grid,50K,50,84,rps,gradient_based,MLP,0.9991670137442732,1.0,0.0008956560680698,0.0,1.0,0.68,1425.476526260376,100.0,15.0
220,rps_50K_grid_49_MLP_deeplift15,grid,50K,50,84,rps,deeplift,MLP,0.9991670137442732,1.0,0.0008956560680698,0.0,1.0,0.68,1136.086166381836,100.0,15.0
221,rps_50K_geom_50_MLP_input_change15,geom,50K,50,239,rps,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.47,914.6512823104858,100.0,15.0
222,rps_50K_geom_50_MLP_gradient_based15,geom,50K,50,239,rps,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.47,1285.2162489891052,100.0,15.0
223,rps_50K_geom_50_MLP_deeplift15,geom,50K,50,239,rps,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.47,988.7090075016022,100.0,15.0
224,voter_50K_erdos_50_MLP_input_change15,erdos,50K,50,186,voter,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.74,746.7557306289673,100.0,15.0
225,voter1_50K_erdos_50_MLP_input_change30,erdos,50K,50,186,voter,input_change,MLP,1.0,1.0,0.0,0.0,0.74,751.139176607132,100.0,30.0,
226,voter1_50K_albert_50_MLP_input_change30,albert,50K,50,96,voter,input_change,MLP,0.97,0.79,0.02,0.21,0.76,712.5967938899994,100.0,30.0,
227,voter1_50K_geom_50_MLP_input_change30,geom,50K,50,239,voter,input_change,MLP,0.99,0.97,0.0,0.03,0.79,1139.3788003921509,100.0,30.0,
228,sis1_50K_erdos_50_MLP_input_change30,erdos,50K,50,186,sis,input_change,MLP,0.94,0.57,0.0,0.43,0.7,1069.3293719291687,100.0,30.0,
229,sis1_50K_albert_50_MLP_input_change30,albert,50K,50,96,sis,input_change,MLP,0.97,0.64,0.0,0.36,0.62,987.7451236248016,100.0,30.0,
230,sis1_50K_geom_50_MLP_input_change30,geom,50K,50,239,sis,input_change,MLP,0.87,0.33,0.0,0.67,0.76,1016.832864522934,100.0,30.0,
231,gol1_50K_erdos_50_MLP_input_change30,erdos,50K,50,186,gol,input_change,MLP,0.99,0.96,0.0,0.04,0.66,1065.301186084747,100.0,30.0,
232,gol1_50K_albert_50_MLP_input_change30,albert,50K,50,96,gol,input_change,MLP,0.97,0.65,0.0,0.35,0.66,1321.348720550537,100.0,30.0,
233,gol1_50K_geom_50_MLP_input_change30,geom,50K,50,239,gol,input_change,MLP,0.97,0.84,0.0,0.16,0.68,1031.1711452007294,100.0,30.0,
234,sis_50K_albert_100_MLP_deeplift30,albert,50K,100,196,sis,deeplift,MLP,0.996,0.8979591836734694,0.0,0.1020408163265306,20.0,0.62,1835.7291147708893,100.0,30.0
237,rps_50K_albert_100_MLP_deeplift30,albert,50K,100,196,rps,deeplift,MLP,0.9972,0.9744897959183674,0.0018734388009991,0.0255102040816326,14.0,0.65,1810.0091376304624,100.0,30.0
240,forest_fire_50K_albert_100_MLP_deeplift30,albert,50K,100,196,forest_fire,deeplift,MLP,0.9964,0.9183673469387756,0.0004163197335553,0.0816326530612244,18.0,0.51,1857.248799324036,100.0,30.0
248,sis_50K_erdos_50_MLP_deeplift15,erdos,50K,50,186,sis,deeplift,MLP,0.972,0.935483870967742,0.0216165413533834,0.064516129032258,35.0,0.7,1018.6447219848632,100.0,15.0
249,rps_50K_erdos_50_MLP_deeplift15,erdos,50K,50,186,rps,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.54,1309.362223625183,100.0,15.0
250,forest_fire_50K_erdos_50_MLP_deeplift15,erdos,50K,50,186,forest_fire,deeplift,MLP,0.8984,0.8118279569892473,0.0864661654135338,0.1881720430107527,127.0,0.47,1077.9665184020996,100.0,15.0
251,voter_50K_erdos_50_MLP_deeplift15,erdos,50K,50,186,voter,deeplift,MLP,0.9992,1.0,0.0009398496240601,0.0,1.0,0.74,792.2534623146057,100.0,15.0
252,gol_50K_erdos_50_MLP_deeplift15,erdos,50K,50,186,gol,deeplift,MLP,0.9952,0.9946236559139784,0.0046992481203007,0.0053763440860215,6.0,0.7,998.6783316135406,100.0,15.0
253,rps_10K_grid_49_MLP_deeplift15,grid,10K,50,84,rps,deeplift,MLP,0.9991670137442732,1.0,0.0008956560680698,0.0,1.0,0.67,278.65137457847595,100.0,15.0
265,voter_50K_geom_30_MLP_deeplift5,geom,50K,30,84,voter,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.83,735.7731382846832,100.0,5.0
