Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time
albert_100_cml,albert,100,196,cml,deeplift,0.991,0.8520408163265306,0.0033655868742111907,45.0,
grid_100_cml,grid,100,180,cml,permutation,1.0,1.0,0.0,0.0,
grid_100_cml,grid,100,180,cml,gradient,1.0,1.0,0.0,0.0,
grid_100_cml,grid,100,180,cml,deeplift,1.0,1.0,0.0,0.0,
grid_100_cml,grid,100,180,cml,permutation,0.9998,1.0,0.00020964360587002095,1.0,
grid_100_cml,grid,100,180,cml,gradient,0.9996,1.0,0.0004192872117400419,2.0,
grid_100_cml,grid,100,180,cml,deeplift,0.9996,1.0,0.0004192872117400419,2.0,
erdos_50_cml3.5,erdos,50,186,cml3.5,permutation,0.9864,0.9731182795698925,0.011549566891241578,17.0,
erdos_50_cml3.5,erdos,50,186,cml3.5,gradient,0.9888,0.967741935483871,0.007699711260827719,14.0,
erdos_50_cml3.5,erdos,50,186,cml3.5,deeplift,0.9888,0.9731182795698925,0.008662175168431183,14.0,
erdos_50_cml3.8,erdos,50,186,cml3.8,permutation,0.9888,0.9516129032258065,0.004812319538017324,14.0,
erdos_50_cml3.8,erdos,50,186,cml3.8,gradient,0.9864,0.9731182795698925,0.011549566891241578,17.0,
erdos_50_cml3.8,erdos,50,186,cml3.8,deeplift,0.9872,0.978494623655914,0.011549566891241578,16.0,
geom_30_cml3.5,geom,30,84,cml3.5,permutation,0.9866666666666667,0.9761904761904762,0.011396011396011397,6.0,
geom_30_cml3.5,geom,30,84,cml3.5,gradient,0.9844444444444445,0.9642857142857143,0.011396011396011397,7.0,
geom_30_cml3.5,geom,30,84,cml3.5,deeplift,0.9866666666666667,0.9642857142857143,0.008547008547008548,6.0,
geom_30_cml3.8,geom,30,84,cml3.8,permutation,0.9733333333333334,0.9285714285714286,0.017094017094017096,12.0,
geom_30_cml3.8,geom,30,84,cml3.8,gradient,0.9733333333333334,0.9404761904761905,0.019943019943019943,12.0,
geom_30_cml3.8,geom,30,84,cml3.8,deeplift,0.9733333333333334,0.9404761904761905,0.019943019943019943,12.0,
albert_100_cml3.5,albert,100,196,cml3.5,permutation,0.9908,0.8214285714285714,0.0023138409760201937,46.0,
albert_100_cml3.5,albert,100,196,cml3.5,gradient,0.9906,0.8928571428571429,0.005469078670593185,47.0,
albert_100_cml3.5,albert,100,196,cml3.5,deeplift,0.9904,0.8622448979591837,0.004417332772402188,48.0,
albert_100_cml3.8,albert,100,196,cml3.8,permutation,0.9904,0.7959183673469388,0.0016827934371055953,48.0,
albert_100_cml3.8,albert,100,196,cml3.8,gradient,0.9908,0.8469387755102041,0.0033655868742111907,46.0,
albert_100_cml3.8,albert,100,196,cml3.8,deeplift,0.991,0.8520408163265306,0.0033655868742111907,45.0,
