,Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time
52,baselines,erdos,50,186,sis,mi,0.99,0.9516129032258064,0.0019249278152069,11.0,3.959434986114502
53,baselines,erdos,50,186,voter,corr,1.0,1.0,0.0057747834456207,6.0,0.0864360332489013
54,baselines,erdos,50,186,voter,mi,1.0,1.0,0.0048123195380173,5.0,4.002234220504761
55,baselines,geom,30,84,gol,corr,0.94,0.9404761904761904,0.0683760683760683,29.0,0.0350868701934814
56,baselines,geom,30,84,gol,mi,0.95,0.8333333333333334,0.0284900284900284,24.0,1.2374663352966309
57,baselines,geom,30,84,sis,corr,0.99,1.0,0.0142450142450142,5.0,0.0289762020111084
58,baselines,geom,30,84,sis,mi,0.98,0.9047619047619048,0.0,8.0,1.2661428451538086
59,baselines,geom,30,84,voter,corr,0.79,1.0,0.2649572649572649,93.0,0.0326030254364013
60,baselines,geom,30,84,voter,mi,0.93,0.9642857142857144,0.0826210826210826,32.0,1.2376928329467771
2,grid_100_voter,grid,100,180,voter,par_corr,1.0,1.0,0.0,0.0,2023.1182379722595
4,grid_100_sis,grid,100,180,sis,mi,1.0,1.0,0.0,0.0,19.69802498817444
5,grid_100_sis,grid,100,180,sis,par_corr,1.0,1.0,0.0,0.0,2063.6084327697754
13,grid_100_forest_fire,grid,100,180,forest_fire,mi,1.0,1.0,0.0,0.0,18.55682611465454
35,grid_100_cml_3.5,grid,100,180,cml_3.5,par_corr,1.0,1.0,0.0,0.0,2241.135264158249
41,grid_100_cml_3.8,grid,100,180,cml_3.8,corr,1.0,1.0,0.0,0.0,0.5400390625
42,grid_100_cml_3.8,grid,100,180,cml_3.8,mi,1.0,1.0,0.0,0.0,18.00142216682434
46,erdos_50_voter,erdos,50,186,voter,par_corr,1.0,1.0,0.0,0.0,194.8324329853058
49,geom_30_voter,geom,30,84,voter,par_corr,1.0,1.0,0.0,0.0,30.991317987442017
52,geom_30_sis,geom,30,84,sis,par_corr,1.0,1.0,0.0,0.0,43.711416721344
